feature,signed_auc,prediction_power
V46,0.08373687514875106,0.08373687514875106
V307,0.08360292306770045,0.08360292306770045
id_33,0.08310687916162385,0.08310687916162385
V281,0.08268130112036398,0.08268130112036398
M6,-0.08258167748607403,0.08258167748607403
V67,0.0821195795892955,0.0821195795892955
D12,0.08201910585625116,0.08201910585625116
M9,-0.08177384781305252,0.08177384781305252
M2,-0.08165048559087462,0.08165048559087462
V123,0.08022323673394127,0.08022323673394127
V125,0.08004784318175595,0.08004784318175595
V99,-0.07820315701764424,0.07820315701764424
V312,0.07749456350962602,0.07749456350962602
V20,0.07666163365689282,0.07666163365689282
V3,0.0764018294639941,0.0764018294639941
V162,0.07307998628490608,0.07307998628490608
V315,0.07218670591945342,0.07218670591945342
V287,0.07189988664509506,0.07189988664509506
V151,0.07162604095493741,0.07162604095493741
V5,0.06948330258891522,0.06948330258891522
M8,-0.068789090261269,0.068789090261269
V289,0.06865298528036345,0.06865298528036345
id_30,0.0685906927689619,0.0685906927689619
V313,0.06835859071354311,0.06835859071354311
V163,0.06759154342937412,0.06759154342937412
V130,-0.06707722365347835,0.06707722365347835
V124,0.06706860166606066,0.06706860166606066
V142,0.06689058647539792,0.06689058647539792
V164,0.06601767025061278,0.06601767025061278
V161,0.06566347363792269,0.06566347363792269
V141,0.06518348388247741,0.06518348388247741
V288,0.06384324974411393,0.06384324974411393
V19,0.06361071535238061,0.06361071535238061
V314,0.062011745660727424,0.062011745660727424
V271,0.060489616839661364,0.060489616839661364
V160,-0.05980185780324743,0.05980185780324743
V267,0.05919967460264597,0.05919967460264597
V224,0.05902302871740117,0.05902302871740117
V272,0.058994076784392835,0.058994076784392835
V143,0.05886776324368914,0.05886776324368914
V329,0.058778390292329785,0.058778390292329785
V227,0.05872012677143168,0.05872012677143168
V338,0.057823239050779796,0.057823239050779796
V127,0.05745520434926932,0.05745520434926932
V96,0.056307264159544124,0.056307264159544124
V270,0.05557107964802044,0.05557107964802044
V309,0.05520243869329744,0.05520243869329744
V284,0.05380643989343703,0.05380643989343703
id_14,0.053404170451781585,0.053404170451781585
V9,0.051600954374686925,0.051600954374686925
V285,-0.05146172758190448,0.05146172758190448
D9,-0.04887188024026112,0.04887188024026112
V330,0.047627579825145316,0.047627579825145316
id_09,0.04672592893023597,0.04672592893023597
V339,0.0465043212291949,0.0465043212291949
TransactionDT,0.044857752400171425,0.044857752400171425
V116,0.044790700592635124,0.044790700592635124
id_03,0.04346539735684041,0.04346539735684041
V268,0.043354473352466005,0.043354473352466005
V138,0.0433205841564015,0.0433205841564015
V225,0.042979857600287996,0.042979857600287996
V115,0.04285608786458339,0.04285608786458339
V114,0.04251062809702644,0.04251062809702644
id_32,0.041668674907441305,0.041668674907441305
id_34,0.04116652120893938,0.04116652120893938
V328,0.03951446367149347,0.03951446367149347
V226,0.039316941933022154,0.039316941933022154
V337,0.03875067382760378,0.03875067382760378
V66,0.03798966184918706,0.03798966184918706
V310,-0.03762984934986646,0.03762984934986646
V112,0.03698168034131655,0.03698168034131655
id_37,0.03687247530308824,0.03687247530308824
V320,0.036055562778338324,0.036055562778338324
V298,0.03583590975276496,0.03583590975276496
V113,0.03550140154885617,0.03550140154885617
V111,0.03532423786072436,0.03532423786072436
V7,0.03499794317182947,0.03499794317182947
V131,0.03457933394052248,0.03457933394052248
V110,0.034056404100617055,0.034056404100617055
V129,0.03384895326703452,0.03384895326703452
V296,0.03360563293347418,0.03360563293347418
V108,0.03342797848124679,0.03342797848124679
V98,0.033217060533127674,0.033217060533127674
V109,0.0331378837171481,0.0331378837171481
V301,0.032896820048716746,0.032896820048716746
V251,0.0316560470761762,0.0316560470761762
V100,0.030608181242189003,0.030608181242189003
V220,0.03053213356945239,0.03053213356945239
id_36,-0.030503290616199608,0.030503290616199608
V136,0.029806930891434824,0.029806930891434824
V105,0.029707659684457655,0.029707659684457655
V321,0.02938645355280123,0.02938645355280123
V299,0.02917916945448451,0.02917916945448451
V106,0.028891748085613234,0.028891748085613234
V137,0.028768254236168467,0.028768254236168467
V335,0.027968874119682408,0.027968874119682408
V336,0.02740871046420179,0.02740871046420179
D6,0.027152971419830196,0.027152971419830196
V169,0.02710744000600651,0.02710744000600651
V327,0.02658881533503088,0.02658881533503088
