feature,feature_type,missing_fraction,n_unique,most_frequent_fraction,is_constant,is_near_constant,is_likely_identifier,signed_auc,prediction_power,train_signed_auc,heldout_signed_auc,abs_auc_delta,stable,importance,permutation_importance,prediction_power_rank_score,importance_rank_score,permutation_importance_rank_score,composite_score
V34,numeric,0.12854223817748728,13,0.7524299793409421,False,False,False,0.35358112352465176,0.35358112352465176,0.35358112352465176,0.3503426884904588,0.0032384350341929657,True,0.13119174449723606,0.0,0.5111511075253,0.020075676561096472,0.0,0.23655871992763983
V211,numeric,0.7638590668427767,6159,0.7638590668427767,False,False,False,0.3053518213894366,0.3053518213894366,0.3053518213894366,0.3168223242645982,0.011470502875161603,True,0.7344193333337699,0.0,0.44142888662209967,0.1123848535799864,0.0,0.23625712230166585
V92,numeric,0.15075016086971246,8,0.7264289181652951,False,False,False,0.3453898366174195,0.3453898366174195,0.3453898366174195,0.33201611808257425,0.013373718534845258,True,0.24771452153181925,0.0,0.4993094533867771,0.037906627683149244,0.0,0.23595051593292518
V149,numeric,0.8614149761235479,20,0.8614149761235479,False,False,False,0.3119252913711654,0.3119252913711654,0.3119252913711654,0.2906474821759566,0.02127780919520883,True,0.6747583101456759,0.0,0.4509317594789724,0.10325519828484331,0.0,0.2358669397859514
V33,numeric,0.12854223817748728,6,0.758826384890665,False,False,False,0.3470108512054877,0.3470108512054877,0.3470108512054877,0.3412029338776834,0.0058079173278042795,True,0.2039140412379634,0.0,0.5016528573381703,0.031204039201153295,0.0,0.23579401192340965
V190,numeric,0.7638590668427767,42,0.7638590668427767,False,False,False,0.3445332168692059,0.3445332168692059,0.3445332168692059,0.35946120620506883,0.014927989335862923,True,0.25737016479831587,0.0,0.49807108939080746,0.0393841868996257,0.0,0.2356772572403529
V72,numeric,0.13023560357187208,11,0.7516171639516375,False,False,False,0.3053627349949801,0.3053627349949801,0.3053627349949801,0.2895274881604917,0.015835246834488448,True,0.7328864415429057,0.0,0.44144466376966074,0.11215028211427046,0.0,0.23552741041116873
V187,numeric,0.7638590668427767,207,0.7638590668427767,False,False,False,0.33344981318860567,0.33344981318860567,0.33344981318860567,0.33655682376933327,0.0031070105807275983,True,0.3340983979183817,0.0,0.48204847480659363,0.05112555978193617,0.0,0.23434970799953567
V228,numeric,0.7793838407784965,48,0.7793838407784965,False,False,False,0.3582070023611157,0.3582070023611157,0.3582070023611157,0.3680499024017201,0.009842900040604396,True,0.05020767820509336,0.0,0.5178384642115557,0.007683052865802105,0.0,0.23423994239214013
V74,numeric,0.13023560357187208,9,0.7471037807204706,False,False,False,0.3437853372537494,0.3437853372537494,0.3437853372537494,0.335043210992096,0.008742126261653382,True,0.22037828442461746,0.0,0.4969899245086852,0.03372348752700025,0.0,0.2341373677241104
V244,numeric,0.7793838407784965,23,0.7793838407784965,False,False,False,0.3599176868053928,0.3599176868053928,0.3599176868053928,0.3541288616155771,0.005788825189815716,True,0.01149590060219856,0.0,0.5203114985172391,0.0017591654349341675,0.0,0.2338875584565122
V140,numeric,0.8614149761235479,33,0.8614149761235479,False,False,False,0.3553298981292301,0.3553298981292301,0.3553298981292301,0.3493226172914865,0.0060072808377436004,True,0.04469682863296758,0.0,0.5136792065002443,0.006839752595569134,0.0,0.23264846420789762
V171,numeric,0.7635474876102099,55,0.7635474876102099,False,False,False,0.3568342639198676,0.3568342639198676,0.3568342639198676,0.34964086581518816,0.007193398104679449,True,0.02424377729054978,0.0,0.5158539782537311,0.0037099150816962204,0.0,0.2323537507770708
V93,numeric,0.15075016086971246,8,0.7264176290626658,False,False,False,0.3477358748871011,0.3477358748871011,0.3477358748871011,0.33417336273121045,0.01356251215589066,True,0.1420087035816878,0.0,0.5027009807621374,0.021730946660493942,0.0,0.23178689585075113
id_16,categorical,0.781257831814949,2,0.781257831814949,False,False,False,0.30597768573657436,0.30597768573657436,0.30597768573657436,0.2944731377157157,0.011504548020858651,True,0.6364585620716706,0.0,0.4423336613199428,0.09739436186063213,0.0,0.2314124920420667
V73,numeric,0.13023560357187208,8,0.7537508043485623,False,False,False,0.32846334762245455,0.32846334762245455,0.32846334762245455,0.3160503081551185,0.012413039467336073,True,0.35498905189638513,0.0,0.47483983942649477,0.054322361638786364,0.0,0.23082879839539747
C9,numeric,0.0,205,0.38816902044456486,False,False,False,-0.28234513093527747,0.28234513093527747,-0.28234513093527747,-0.2731997946822601,0.009145336253017389,True,0.9041812355374135,0.0,0.40816948864036523,0.13836274612267335,0.0,0.23073143059314744
P_emaildomain,categorical,0.16007721746198394,59,0.38669692146171303,False,False,False,0.20514118623413657,0.20514118623413657,0.20514118623413657,0.20656306654013634,0.0014218803059997676,True,1.8081314409860643,0.0,0.2965603579098362,0.2766901387606007,0.0,0.23008042757973657
V48,numeric,0.28594393831634324,6,0.4472855352728012,False,False,False,-0.31642644564977385,0.31642644564977385,-0.31642644564977385,-0.31423927354677805,0.0021871721029957936,True,0.44376105859863885,0.0,0.4574388093229173,0.06790673846877417,0.0,0.2292867468439344
V79,numeric,0.15075016086971246,8,0.7401384043982344,False,False,False,0.3534486380679067,0.3534486380679067,0.3534486380679067,0.3409305526908051,0.01251808537710164,True,0.012689942320510988,0.0,0.5109595812150967,0.0019418842136893445,0.0,0.22873375821501954
V242,numeric,0.7793838407784965,21,0.7793838407784965,False,False,False,0.34886300321921015,0.34886300321921015,0.34886300321921015,0.35101849770392946,0.0021554944847193003,True,0.028364723583466728,0.0,0.5043304028578012,0.004340524768451267,0.0,0.2281445407822606
V158,numeric,0.8614149761235479,23,0.8614149761235479,False,False,False,0.3445706855876358,0.3445706855876358,0.3445706855876358,0.33905410651160794,0.005516579076027872,True,0.0752449533181753,0.0,0.49812525567867966,0.011514393313843884,0.0,0.22735891585384702
id_12,categorical,0.7560853907722875,2,0.7560853907722875,False,False,False,0.3226315494443104,0.3226315494443104,0.3226315494443104,0.309501892251002,0.013129657193308386,True,0.3490567159321033,0.0,0.4664091571889726,0.053414563221080354,0.0,0.22660976928341955
V212,numeric,0.7638590668427767,7154,0.7638590668427767,False,False,False,0.33950525403972454,0.33950525403972454,0.33950525403972454,0.3466723265565326,0.007167072516808037,True,0.1260558880015328,0.0,0.4908024638961372,0.01928975977748272,0.0,0.22653746379785947
V22,numeric,0.12854223817748728,9,0.759298269380567,False,False,False,0.31787922432350246,0.31787922432350246,0.31787922432350246,0.30520696191425367,0.012672262409248791,True,0.39266328081588553,0.0,0.4595390046632767,0.06008747770897119,0.0,0.22592232993522712
V170,numeric,0.7635474876102099,48,0.7635474876102099,False,False,False,0.34401334371173053,0.34401334371173053,0.34401334371173053,0.3368697651681638,0.007143578543566731,True,0.057299245151060274,0.0,0.4973195398240001,0.008768243133407655,0.0,0.22579114123595773
has_identity,boolean,0.0,2,0.7560853907722875,False,False,False,0.3174944016537897,0.3174944016537897,0.3174944016537897,0.3055484923268228,0.01194590932696693,True,0.3817304159609928,0.0,0.4589826895187812,0.05841447107616717,0.0,0.225195388761065
V80,numeric,0.15075016086971246,20,0.7366297513010691,False,False,False,0.3345867335659132,0.3345867335659132,0.3345867335659132,0.319543419808316,0.015043313757597154,True,0.13957792138819466,0.0,0.4836920526770291,0.02135897510623148,0.0,0.22288056792820454
V81,numeric,0.15075016086971246,20,0.7364897664284666,False,False,False,0.33780322820895203,0.33780322820895203,0.33780322820895203,0.3218653135942062,0.015937914614745807,True,0.08548170028283511,0.0,0.4883419468307363,0.01308087618887438,0.0,0.22194149554772552
V90,numeric,0.15075016086971246,6,0.5173728000361252,False,False,False,-0.3152108536507561,0.3152108536507561,-0.3152108536507561,-0.3111848394146799,0.004026014236076181,True,0.32339736633999433,0.0,0.4556815005887775,0.04948802954204893,0.0,0.22177358346925558
V85,numeric,0.15075016086971246,8,0.7372529097662027,False,False,False,0.3311683953216884,0.3311683953216884,0.3311683953216884,0.31460054424014383,0.01656785108154457,True,0.15391744635923374,0.0,0.4787503652871202,0.023553287457679872,0.0,0.22119613732716037
V49,numeric,0.28594393831634324,6,0.446332735010894,False,False,False,-0.3158905714644866,0.3158905714644866,-0.3158905714644866,-0.31227750479035854,0.003613066674128085,True,0.26612520723280425,0.0,0.4566641280260955,0.04072393126286318,0.0,0.21921027355262587
